Commercial,Building Type C,Commercial Demand,Building Type CD
2244 CASS RD,Warehouse,908 E EIGHTH ST,Quick Service Restaurant
315 N DIVISION ST,Outpatient,830 E FRONT ST,Medium Office
1026 RED DR,Primary School,10850 EAST TRAVERSE HWY,Medium Office
140 RIVERS EDGE DR,Medium Office,1120 CARVER ST,Full Service Restaurant
10753 PINE BLUFF DR,Small Office,260 E TENTH ST,Supermarket
535 W FRONT ST,Retail Standalone,412 WEBSTER ST,Secondary School
720 FITZHUGH DR,Midrise Apartment,2779 AERO PARK DR,Warehouse
6619 MISSION RIDGE,Small Office,820 RED DR,Medium Office
225 GARLAND ST,Medium Office,2651 AERO PARK DR,Warehouse
144 HALL ST,Retail Strip Mall,700 COTTAGEVIEW DR,Small Office
3139 N KEYSTONE RD,Warehouse,717 RANDOLPH ST,Full Service Restaurant
715 E STATE ST STE,Midrise Apartment,125 PARK ST,Retail Strip Mall
2000 RANDOLPH ST,Small Office,815 S GARFIELD AVE,Retail Strip Mall
853 E FRONT ST,Small Hotel,315 E FRONT ST,Medium Office
441 E FRONT ST,Retail Strip Mall,1319 S DIVISION ST,Retail Standalone
800 WESTMINSTER RD,Residential Home,821 S GARFIELD AVE,Retail Strip Mall
124 MUNSON AVE,Quick Service Restaurant,1331 1/2 S GARFIELD AVE,Warehouse
0 E F HUTTON PARKING LOT,Other ,109 E FRONT ST,Midrise Apartment
1265 US 31 NORTH,Small Hotel,121 RIVERS EDGE DR,Medium Office
107 CASS ST,Medium Office,140 RIVERS EDGE DR,Medium Office
440 W FRONT ST,Small Office,215 WASHINGTON ST,Midrise Apartment
322 S UNION ST,Retail Strip Mall,1566 US 31 NORTH,Other 
113 E STATE ST,Full Service Restaurant,127 E FRONT ST,Quick Service Restaurant
807 LAKE AVE,Retail Standalone,115 E FOURTEENTH ST,Outpatient
1239 WOODMERE AVE,Small Office,708 BOON ST,Quick Service Restaurant
1200 W ELEVENTH ST MECH,Large Hotel,819 S GARFIELD AVE,Retail Strip Mall
525 W FOURTEENTH ST,Small Office,700 COTTAGEVIEW DR,Full Service Restaurant
104 E FRONT ST,Retail Strip Mall,202 E GRANDVIEW PKWY,Small Office
13818 S WEST BAY SHORE DR,Medium Office,2314 SYBRANDT RD,Warehouse
921 W ELEVENTH ST,Residential Home,1175 AIRPORT ACCESS RD,Warehouse
202 BOARDMAN AVE,Residential Home,1417 WOODMERE AVE,Warehouse
934 S GARFIELD AVE,Medium Office,1780 BARLOW ST,Warehouse
600 E FRONT ST,Medium Office,1238 S GARFIELD AVE,Small Office
548 E FRONT ST,Medium Office,440 MUNSON AVE,Small Hotel
1161 HASTINGS ST,Warehouse,1645 W SOUTH AIRPORT RD,Warehouse
333 W GRANDVIEW PKWY,Medium Office,409 W FOURTEENTH ST,Small Office
750 MUNSON AVE,Other ,3828 N US 31 SOUTH,Full Service Restaurant
1659 S GARFIELD AVE,Warehouse,230 E FRONT ST,Retail Strip Mall
630 S GARFIELD AVE,Midrise Apartment,626 E EIGHTH ST,Retail Strip Mall
1027 E EIGHTH ST,Retail Strip Mall,941 HASTINGS ST,Warehouse
619 E EIGHTH ST,Midrise Apartment,161 E FRONT ST,Full Service Restaurant
1832 OAK HOLLOW DR,Outpatient,1190 AIRPORT ACCESS RD,Warehouse
0 UNION ST & PARKWAY,Other ,221 E STATE ST,Full Service Restaurant
3130 LOGAN VALLEY RD,Outpatient,1567 W SOUTH AIRPORT RD,Warehouse
3950 SCENIC RIDGE,Retirement Community,1501 CASS ST,Small Office
1142 E EIGHTH ST,Retail Strip Mall,101 W GRANDVIEW PKWY,Small Office
440 MUNSON AVE,Small Hotel,448 E FRONT ST,Full Service Restaurant
216 CASS ST,Medium Office,155 GARLAND ST,Midrise Apartment
920 HASTINGS ST STE,Medium Office,1209 E FRONT ST,Full Service Restaurant
223 E FRONT ST,Retail Strip Mall,209 N UNION ST,Other 
148 E FRONT ST,Retail Strip Mall,229 E FRONT ST,Full Service Restaurant
927 WOODMERE AVE,Midrise Apartment,625 S GARFIELD AVE,Medium Office
2936 GLEN DR,Midrise Apartment,709 RANDOLPH ST,Retail Standalone
429 MUNSON PL,Small Hotel,935 BARLOW ST,Retirement Community
436 W FRONT ST,Warehouse,617 RANDOLPH ST,Retail Standalone
157 E FRONT ST,Retail Strip Mall,3742 W FRONT ST,Other 
135 MUNSON AVE,Small Hotel,830 COTTAGEVIEW DR,Medium Office
134 E FRONT ST,Retail Strip Mall,2707 AERO PARK DR,Medium Office
108 S UNION ST,Full Service Restaurant,511 E FRONT ST,Small Office
804 S GARFIELD AVE,Medium Office,3639 MARKETPLACE CR,Small Office
920 HASTINGS ST STE,Small Office,1131 HASTINGS ST,Small Office
1214 S GARFIELD AVE,Retail Strip Mall,305 W FRONT ST 4TH,Medium Office
461 MUNSON AVE,Retirement Community,2830 AERO PARK DR,Medium Office
1466 NEWPORT ST,Small Hotel,2238 TRAVERSEFIELD DR,Small Office
1580 W SOUTH AIRPORT RD,Retail Standalone,2531 AERO PARK DR,Small Office
818 RED DR STE,Small Office,111 CASS ST,Small Office
697 HANNAH AVE,Small Office,1015 S UNION ST,Religious worship 
109 E FRONT ST,Retail Strip Mall,114 S UNION ST,Retail Strip Mall
2465 N AERO PARK CT OFFIC,Warehouse,2458 N AERO PARK CT,Small Office
1500 BARLOW ST,Warehouse,1020 SIXTH ST,Hospital
120 E FRONT ST,Retail Strip Mall,2475 AERO PARK CT,Warehouse
210 E FRONT ST,Retail Strip Mall,202 S UNION ST,Small Office
327 W FOURTEENTH ST,Residential Home,1001 S OAK ST,Primary School
610 WOODMERE AVE,Medium Office,707 PARSONS RD,Warehouse
400 W FRONT ST,Medium Office,3950 SCENIC RIDGE,Retirement Community
120 E FRONT ST,Retail Strip Mall,706 W FRONT ST,Service 
721 INDIAN TRAIL BLVD,Small Hotel,460 MUNSON AVE,Small Hotel
955 E EIGHTH ST,Small Office,415 S ELMWOOD AVE,Retirement Community
1128 S GARFIELD AVE,Retail Strip Mall,1015 RED DR,Midrise Apartment
1023 S DIVISION ST,Religious worship ,229 LAKE AVE,Full Service Restaurant
1003 E FRONT ST,Residential Home,424 E FRONT ST,Small Office
346 E FRONT ST,Quick Service Restaurant,1686 S GARFIELD AVE,Quick Service Restaurant
894 MUNSON AVE,Small Hotel,1241 E EIGHTH ST,Outpatient
403 E STATE ST,Outpatient,3680 CASS RD,Warehouse
1773 US 31 NORTH,Large Hotel,728 MUNSON AVE,Retail Strip Mall
100 HOPE ST STE,Midrise Apartment,901 E FRONT ST,Service 
940 E EIGHTH ST,Small Office,1001 W ELEVENTH ST,Medium Office
1142 E EIGHTH ST,Retail Strip Mall,807 AIRPORT ACCESS RD,Warehouse
2291 TRAVERSEFIELD DR,Warehouse,1323 W SOUTH AIRPORT RD,Retail Strip Mall
841 FERN ST,Small Hotel,135 E STATE ST,Retail Standalone
521 COTTAGEVIEW DR,Retirement Community,120 W FRONT ST,Large Office
207 E FRONT ST,Retail Strip Mall,2155 TRAVERSEFIELD DR,Warehouse
1433 BARLOW ST UNIT,Small Office,440 E FRONT ST,Medium Office
140 E FRONT ST,Retail Strip Mall,3950 SCENIC RIDGE,Retirement Community
325 WASHINGTON ST,Residential Home,333 W GRANDVIEW PKWY STE,Large Office
440 MUNSON AVE,Small Hotel,800 S GARFIELD AVE,Large Office
1508 NEWPORT ST HOUSE,Small Hotel,1104 E FRONT ST,Retail Standalone
541 W FRONT ST,Full Service Restaurant,1532 US 31 NORTH,Supermarket
870 E FRONT ST,Midrise Apartment,2699 CASS RD,Warehouse
800 COTTAGEVIEW DR STE,Retail Strip Mall,720 S ELMWOOD AVE,Medium Office
315 N DIVISION ST,Medium Office,2397 TRAVERSEFIELD DR,Warehouse
145 E FRONT ST,Retail Strip Mall,3536 N US 31 SOUTH,Retail Standalone
100 PARK ST,Small Office,1492 US 31 NORTH,Small Hotel
1116 CARVER ST,Retail Strip Mall,501 E EIGHTH ST,Service 
100 HOPE ST STE,Small Hotel,141 RIVERS EDGE DR,Medium Office
333 W GRANDVIEW PKWY,Medium Office,1150 MILLIKEN DR,Secondary School
0 E FRONT ST/BARLOW ST,Other ,524 W FOURTEENTH ST,Quick Service Restaurant
4246 N THREE MILE RD,Outpatient,521 RANDOLPH ST,Medium Office
326 E FRONT ST,Retail Strip Mall,511 S GARFIELD AVE,Service 
638 E EIGHTH ST,Residential Home,2360 W SOUTH AIRPORT RD,Retail Standalone
414 E FRONT ST,Small Office,950 WOODMERE AVE,Retail Standalone
104 S UNION ST,Retail Strip Mall,2751 N US 31 SOUTH,Retail Standalone
539 S GARFIELD AVE,Outpatient,800 HASTINGS ST,Retail Strip Mall
111 E FRONT ST,Retail Strip Mall,2801 N US 31 SOUTH,Retail Standalone
3417 CASS RD,Warehouse,924 HASTINGS ST,Outpatient
838 FLORESTA ST,Residential Home,101 N PARK ST,Midrise Apartment
1115 E EIGHTH ST,Retail Strip Mall,144 W SOUTH AIRPORT RD,Other 
1216 CENTRE ST,Small Hotel,1371 W SOUTH AIRPORT RD,Full Service Restaurant
1415 PREMIER ST,Warehouse,415 MUNSON AVE,Medium Office
148 E FRONT ST,Retail Strip Mall,218 W FOURTEENTH ST,Medium Office
3007 N GARFIELD RD,Retail Strip Mall,625 WOODMERE AVE,Large Office
110 E FRONT ST,Retail Strip Mall,144 W SOUTH AIRPORT RD,Other 
322 E FRONT ST,Retail Strip Mall,129 E FRONT ST,Retail Standalone
113 S PARK ST,Full Service Restaurant,734 MUNSON AVE SUITE,Retail Strip Mall
415 E FRONT ST #P1A,Retail Strip Mall,315 E FRONT ST,Medium Office
1047 W SOUTH AIRPORT RD,Retail Strip Mall,3055 CASS RD,Retail Strip Mall
131 E STATE ST,Retail Strip Mall,160 E FRONT ST,Full Service Restaurant
124 BEECH ST,Small Hotel,2470 N AERO PARK CT,Warehouse
537 BAY ST,Midrise Apartment,1201 S GARFIELD AVE,Retail Strip Mall
801 WOODMERE AVE,Small Office,2314 SYBRANDT RD,Warehouse
6004 CENTER RD,Other ,1501 CASS ST,Medium Office
300 E FRONT ST,Retail Strip Mall,1331 S GARFIELD AVE,Retail Standalone
0 EIGHTH & MUNSON AVE,Other ,735 S GARFIELD AVE,Medium Office
717 WOODMERE AVE,Small Office,440 W FRONT ST,Medium Office
151 E FRONT ST,Retail Strip Mall,845 E SOUTH AIRPORT RD,Warehouse
812 W FRONT ST,Residential Home,3375 WRIGHT DR,Other 
928 E FRONT ST,Residential Home,1230 WOODMERE AVE,Warehouse
140 E FRONT ST,Retail Strip Mall,1396 W SOUTH AIRPORT RD,Retail Standalone
3134 LOGAN VALLEY RD,Small Office,701 W FRONT ST,Outpatient
545 RIVERINE DR,Small Hotel,2577 N US 31 SOUTH,Retail Standalone
2314 SYBRANDT RD,Warehouse,317 E FRONT ST,Outpatient
2296 CASS RD,Warehouse,241 E STATE ST,Medium Office
128 S UNION ST PANEL,Retail Strip Mall,1795 BARLOW ST,Retail Standalone
630 S GARFIELD AVE,Midrise Apartment,201 E SEVENTEENTH ST,Medium Office
807 LAKE AVE,Warehouse,844 E FRONT ST,Outpatient
332 E FRONT ST,Retail Strip Mall,3950 SCENIC RIDGE,Retirement Community
313 E FRONT ST,Retail Strip Mall,1115 S GARFIELD AVE,Retail Strip Mall
1128 E EIGHTH ST,Retail Strip Mall,141 RIVERS EDGE DR,Medium Office
1043 W SOUTH AIRPORT RD,Retail Strip Mall,472 MUNSON AVE,Full Service Restaurant
1525 CASS ST,Outpatient,3675 MARKETPLACE CR,Retail Standalone
305 W FRONT ST 2ND,Medium Office,795 LYNCH DR,Warehouse
516 SHERIDAN RD,Residential Home,1881 COLLEGE DR,Medium Office
530 S UNION ST,Residential Home,144 W SOUTH AIRPORT RD,Other 
3950 SCENIC RIDGE,Large Hotel,3587 MARKETPLACE CR,Supermarket
104 E GRANDVIEW PKWY CFEST,Other ,905 E EIGHTH ST,Supermarket
2670 AERO PARK DR,Warehouse,1122 E EIGHTH ST,Service 
225 E FOURTEENTH ST,Small Office,420 E FRONT ST,Medium Office
911 LYNCH DR,Warehouse,101 E FRONT ST,Retail Standalone
510 DEPOT VIEW DR,Small Office,538 W FOURTEENTH ST,Retail Standalone
517 W FRONT ST,Supermarket,701 W FRONT ST,Midrise Apartment
1026 HANNAH AVE,Retail Strip Mall,1117 W SOUTH AIRPORT RD UNIT,Retail Strip Mall
104 S UNION ST,Retail Strip Mall,839 S GARFIELD AVE,Retail Strip Mall
876 E EIGHTH ST,Small Office,626 W FRONT ST,Retail Standalone
191 MARINA DR DCFC,Other ,827 S UNION ST,Retail Standalone
921 W SOUTH AIRPORT RD,Warehouse,1319 W SOUTH AIRPORT RD,Retail Strip Mall
1606 BARLOW ST,Retail Strip Mall,111 E GRANDVIEW PKWY,Other 
1401 US 31 NORTH,Small Hotel,1139 E FRONT ST,Religious worship 
830 COTTAGEVIEW DR STE,Retail Strip Mall,1011 LAKE RIDGE DR,Midrise Apartment
1373 BARLOW ST,Retail Strip Mall,1100 S GARFIELD AVE,Retail Standalone
525 GEORGETOWN DR,Midrise Apartment,520 E FRONT ST,Medium Office
940 E EIGHTH ST,Small Office,731 FITZHUGH DR,Midrise Apartment
1606 BARLOW ST,Retail Strip Mall,1145 HASTINGS ST,Medium Office
3287 RACQUET CLUB DR,Small Office,115 HALL ST,Retail Standalone
1489 US 31 NORTH,Small Hotel,1576 PREMIER ST,Other 
233 E TWELFTH ST,Warehouse,1020 HASTINGS ST,Warehouse
126 BOARDMAN AVE,Retail Strip Mall,2600 W SOUTH AIRPORT RD,Service 
720 S GARFIELD AVE,Retail Standalone,303 E STATE ST,Other 
1515 CASS ST,Small Office,851 S GARFIELD AVE,Full Service Restaurant
3141 LOGAN VALLEY RD,Small Office,221 E FRONT ST,Retail Strip Mall
1125 WEST CIVIC CENTER DR,Small Office,3020 CASS RD,Other 
237 LAKE AVE STE,Full Service Restaurant,748 MUNSON AVE STE,Quick Service Restaurant
537 BAY ST,Small Hotel,2392 CASS RD,Warehouse
431 MUNSON AVE,Midrise Apartment,1421 WOODMERE AVE,Warehouse
748 E STATE ST,Religious worship ,1000 HASTINGS ST,Medium Office
148 E FRONT ST,Retail Strip Mall,734 W FRONT ST,Retail Standalone
3643 W FRONT ST,Outpatient,1260 BOON ST,Other 
2823 CASS RD,Warehouse,1247 BOON ST,Warehouse
843 S GARFIELD AVE,Retail Standalone,260 E TWELFTH ST,Warehouse
0 MUNSON AVE & N THREE MILE,Other ,931 FITZHUGH DR,Midrise Apartment
803 W FRONT ST,Small Office,221 GARLAND ST STE,Full Service Restaurant
1129 E EIGHTH ST,Other ,750 FITZHUGH DR,Midrise Apartment
309 CASS ST,Small Hotel,1333 YELLOW DR,Full Service Restaurant
845 S GARFIELD AVE,Retail Strip Mall,124 CASS ST,Full Service Restaurant
736 E EIGHTH ST,Retail Standalone,603 BAY ST,Medium Office
12868 S WEST BAY SHORE DR,Residential Home,221 GARLAND ST,Small Hotel
534 E FRONT ST,Small Office,123 E ELEVENTH ST,Secondary School
