Commercial,Commercial Demand
148 E FRONT ST,229 E FRONT ST
927 WOODMERE AVE,625 S GARFIELD AVE
2936 GLEN DR,709 RANDOLPH ST
429 MUNSON PL,935 BARLOW ST
436 W FRONT ST,617 RANDOLPH ST
157 E FRONT ST,3742 W FRONT ST
135 MUNSON AVE,830 COTTAGEVIEW DR
134 E FRONT ST,2707 AERO PARK DR
108 S UNION ST,511 E FRONT ST
804 S GARFIELD AVE,3639 MARKETPLACE CR
920 HASTINGS ST STE,1131 HASTINGS ST
1214 S GARFIELD AVE,305 W FRONT ST 4TH
461 MUNSON AVE,2830 AERO PARK DR
1466 NEWPORT ST,2238 TRAVERSEFIELD DR
1580 W SOUTH AIRPORT RD,2531 AERO PARK DR
818 RED DR STE,111 CASS ST
697 HANNAH AVE,1015 S UNION ST
109 E FRONT ST,114 S UNION ST
2465 N AERO PARK CT OFFIC,2458 N AERO PARK CT
1500 BARLOW ST,1020 SIXTH ST
120 E FRONT ST,2475 AERO PARK CT
210 E FRONT ST,202 S UNION ST
327 W FOURTEENTH ST,1001 S OAK ST
610 WOODMERE AVE,739 HASTINGS ST
400 W FRONT ST,214 E FRONT ST
120 E FRONT ST,240 E FRONT ST
721 INDIAN TRAIL BLVD,140 RIVERS EDGE DR
955 E EIGHTH ST,738 MUNSON AVE
1128 S GARFIELD AVE,3950 SCENIC RIDGE
1023 S DIVISION ST,1492 US 31 NORTH
1003 E FRONT ST,2830 N US 31 SOUTH
346 E FRONT ST,230 MUNSON AVE
894 MUNSON AVE,852 S GARFIELD AVE
403 E STATE ST,826 W FRONT ST
1773 US 31 NORTH,1124 S GARFIELD AVE
100 HOPE ST STE,810 HASTINGS ST
940 E EIGHTH ST,975 W SOUTH AIRPORT RD
1142 E EIGHTH ST,748 MUNSON AVE STE
2291 TRAVERSEFIELD DR,225 E FRONT ST
841 FERN ST,1614 US 31 NORTH
521 COTTAGEVIEW DR,329 E STATE ST
207 E FRONT ST,509 MUNSON AVE
1433 BARLOW ST UNIT,154 E FRONT ST
140 E FRONT ST,406 S UNION ST
325 WASHINGTON ST,745 S GARFIELD AVE
440 MUNSON AVE,630 COTTAGEVIEW DR
1508 NEWPORT ST HOUSE,1202 VETERANS DR
541 W FRONT ST,1773 US 31 NORTH
870 E FRONT ST,3745 N US 31 SOUTH
800 COTTAGEVIEW DR STE,3811 MARKETPLACE CR
315 N DIVISION ST,3950 SUMAC DR
145 E FRONT ST,235 E FRONT ST
100 PARK ST,110 S MADISON ST
1116 CARVER ST,620 RAILROAD PL
100 HOPE ST STE,212 1/2 E FRONT ST
333 W GRANDVIEW PKWY,1501 CASS ST
0 E FRONT ST/BARLOW ST,720 MUNSON AVE
4246 N THREE MILE RD,3186 CASS RD
326 E FRONT ST,3000 N GARFIELD RD
638 E EIGHTH ST,1725 S UNION ST CLUB
414 E FRONT ST,333 W GRANDVIEW PKWY
104 S UNION ST,324 S UNION ST
539 S GARFIELD AVE,925 AIRPORT ACCESS RD
111 E FRONT ST,107 CASS ST
3417 CASS RD,830 E FRONT ST
838 FLORESTA ST,513 W FRONT ST
1115 E EIGHTH ST,1029 CARVER ST
1216 CENTRE ST,515 S GARFIELD AVE
1415 PREMIER ST,745 S GARFIELD AVE
148 E FRONT ST,2640 AERO PARK DR
3007 N GARFIELD RD,902 W FRONT ST
110 E FRONT ST,803 WOODMERE AVE
322 E FRONT ST,121 RIVERS EDGE DR
113 S PARK ST,2800 N US 31 SOUTH
415 E FRONT ST #P1A,125 PARK ST
1047 W SOUTH AIRPORT RD,315 E FRONT ST
131 E STATE ST,1701 E FRONT ST
