Commercial,Commercial Demand
1026 HANNAH AVE,818 RED DR STE
640 E EIGHTH ST,886 MUNSON AVE
821 S ELMWOOD AVE STE,2282 CASS RD
522 E FRONT ST,835 S GARFIELD AVE
1324 BARLOW ST,541 S GARFIELD AVE
748 MUNSON AVE,1054 E FRONT ST
940 E EIGHTH ST,1101 CASS ST
1104 CASS ST,3950 SCENIC RIDGE
101 E FRONT ST,642 RAILROAD PL
1058 FOREST ST,1117 W SOUTH AIRPORT RD UNIT
525 W FOURTEENTH ST,2314 SYBRANDT RD
930 RED DR,1420 W SOUTH AIRPORT RD
950 LAKE RIDGE DR,1111 LAKE RIDGE DR
1220 WOODMERE AVE,2282 CASS RD
902 W FRONT ST,341 W FRONT ST
1705 S GARFIELD AVE,806 RED DR STE
412 W EIGHTH ST,13916 S WEST BAY SHORE DR
0 HALL ST & PARKWAY,400 W FRONT ST
823 S GARFIELD AVE,1033 E EIGHTH ST
619 E EIGHTH ST,10977 BREWERY CREEK LN
312 S UNION ST,501 LAKE AVE
713 E EIGHTH ST,1109 E FRONT ST
1720 HANNAH AVE,2470 N AERO PARK CT
517 S UNION ST,1535 S DIVISION ST
894 MUNSON AVE,140 RIVERS EDGE DR
515 W FOURTEENTH ST,620 COTTAGEVIEW DR
1265 US 31 NORTH,211 E FRONT ST
129 E FRONT ST STE,225 E SEVENTEENTH ST HOUSE
1732 BARLOW ST,631 E FRONT ST
537 W FRONT ST,2040 TRAVERSEFIELD DR
131 E EIGHTH ST,1208 S GARFIELD AVE
301 SEVENTH ST,13930 S MORGAN HILL RD
1130 E EIGHTH ST,912 S GARFIELD AVE
1237 HASTINGS ST,250 E FRONT ST
1112 S GARFIELD AVE,1145 WOODMERE AVE
124 N DIVISION ST,2382 CASS RD
1609 PARK DR,303 E STATE ST
537 S GARFIELD AVE,2495 N AERO PARK CT
0 FRONT & PARKWAY,903 LYNCH DR
880 BALDWIN ST,2366 CASS RD
522 W FOURTEENTH ST,1713 PARK DR
1139 E EIGHTH ST,2301 W AERO PARK CT
720 FITZHUGH DR,360 MUNSON AVE
1239 MILLIKEN DR,121 S UNION ST
607 RANDOLPH ST,321 A W THIRTEENTH ST
817 BAY ST,1131 HASTINGS ST TRAV
1645 W SOUTH AIRPORT RD,1890 E COLLEGE DR
701 THIRD ST,2485 AERO PARK DR
803 W FRONT ST,901 S GARFIELD AVE
800 COTTAGEVIEW DR STE,460 MUNSON AVE
511 E EIGHTH ST,533 W FOURTEENTH ST
1129 WOODMERE AVE STE,875 E FRONT ST
1475 PREMIER ST,820 RED DR
1134 E EIGHTH ST,305 MUNSON AVE
0 W FOURTEENTH ST & S UNION,820 RED DR STE
225 W FOURTEENTH ST,1516 BARLOW ST WARE
208 N CEDAR ST,534 E FRONT ST
341 WASHINGTON ST,223 W GRANDVIEW PKWY
124 BEECH ST,119 BEAUMONT PL
1550 E FRONT ST,328 E FRONT ST
1710 US 31 NORTH,206 E FRONT ST
416 E FRONT ST,2300 W SOUTH AIRPORT RD
3191 LOGAN VALLEY RD,3950 SILVER LAKE RD
666 BAY HILL DR,1781 BARLOW ST
2000 RANDOLPH ST,2323 W AERO PARK CT
0 FRONT & DIVISION ST,1204 S GARFIELD AVE
6536 MISSION RIDGE,525 W FRONT ST
518 E FRONT ST,736 MUNSON AVE
10765 PINE BLUFF DR,961 FITZHUGH DR
1142 E EIGHTH ST,1028 E EIGHTH ST
885 ROBINWOOD CT,430 W FOURTEENTH ST
333 W GRANDVIEW PKWY,1780 BARLOW ST
106 ROSE ST,424 W FRONT ST STE
1135 E EIGHTH ST,2423 SYBRANDT RD
3566 N US 31 SOUTH,2318 CASS RD
119 E EIGHTH ST HOUSE,300 E FRONT ST
1505 KENT ST,0 S GARFIELD AVE & E SOUTH
1545 S DIVISION ST,1201 E FRONT ST
1725 S UNION ST,3241 RACQUET CLUB DR
2779 AERO PARK DR,1003 S MAPLE ST
309 W FRONT ST,3950 SCENIC RIDGE
2005 EASTERN AVE,415 E FRONT ST #P4
501 BAY ST,301 S GARFIELD AVE
2827 CASS RD,438 E FRONT ST
432 MUNSON PL,128 S UNION ST STE
1450 BARLOW ST,742 MUNSON AVE
221 GARLAND ST STE,2827 CASS RD
1373 BARLOW ST,1357 W SOUTH AIRPORT RD
116 E FRONT ST,880 PARSONS RD
777 LYNCH DR,1201 E FRONT ST
2381 CASS RD,225 E SIXTEENTH ST PANEL
736 BARLOW ST,1125 WEST CIVIC CENTER DR
1117 CARVER ST,3055 CASS RD
1005 WOODMERE AVE,2750 N US 31 SOUTH
1147 HASTINGS ST,1721 S GARFIELD AVE
124 N DIVISION ST,130 RIVERS EDGE DR
236 1/2 E FRONT ST,830 ROBINWOOD CT
1525 S DIVISION ST,1011 HASTINGS ST
959 LYNCH DR,425 BOARDMAN AVE
810 COTTAGEVIEW DR,2820 N US 31 SOUTH
880 PARSONS RD,801 S GARFIELD AVE
3423 CASS RD,2889 AERO PARK DR
810 COTTAGEVIEW DR,161 E GRANDVIEW PKWY
1732 BARLOW ST,1200 SIXTH ST
6467 MISSION RIDGE,810 E FRONT ST
335 E STATE ST,225 E SIXTEENTH ST STE
0 VETERANS DR & BOUGHEY ST,423 S UNION ST
1670 BARLOW ST,726 HASTINGS ST
404 N DIVISION ST,1740 BARLOW ST
1126 CARVER ST,328 MUNSON AVE STE
1142 E EIGHTH ST,1545 S DIVISION ST
1192 AIRPORT ACCESS RD,555 S GARFIELD AVE
403 FAIR ST,522 E FRONT ST
1125 WEST CIVIC CENTER DR,800 CENTRE PL
708 RANDOLPH ST,1620 W SOUTH AIRPORT RD
413 S UNION ST,1615 S GARFIELD AVE
865 MUNSON AVE,1732 BARLOW ST
522 E FRONT ST,1239 BARLOW ST
1009 E FRONT ST CAR,448 E FRONT ST
1566 US 31 NORTH,0 AIRPORT ACCESS RD & PARSO
301 W GRANDVIEW PKWY,324 MUNSON AVE
3229 LOGAN VALLEY RD,1861 E COLLEGE DR
605 THIRD ST,336 W FRONT ST
1691 BAY HILL TER,1031 HASTINGS ST
118 1/2 E FRONT ST,1020 HASTINGS ST
1026 HANNAH AVE,336 E FRONT ST
107 CASS ST,1567 W SOUTH AIRPORT RD
1793 LINDEN AVE,1580 W SOUTH AIRPORT RD
748 MUNSON AVE STE,107 CASS ST
151 RAILROAD AVE,1723 S GARFIELD AVE
228 E FRONT ST,732 E FRONT ST
956 WALNUT ST,229 E TWELFTH ST
1104 BARLOW ST,140 RIVERS EDGE DR
911 SEVENTH ST,2625 N US 31 SOUTH
2896 GLEN DR,144 E FRONT ST
732 S GARFIELD AVE,128 E FRONT ST
2811 CASS RD,255 MUNSON AVE
1040 WALNUT ST,2386 TRAVERSEFIELD DR
129 E FRONT ST STE,1710 US 31 NORTH
1186 AIRPORT ACCESS RD,880 PARSONS RD
703 PARSONS RD,523 COTTAGE ARBOR LN
0 PENINSULA DR & EASTERN AV,1240 OAK TER
845 ROBINWOOD CT,315 E FRONT ST
1200 RAMSDELL ST,1133 W SOUTH AIRPORT RD
837 ROBINWOOD CT,202 E STATE ST
1844 OAK HOLLOW DR,1217 E FRONT ST
821 S ELMWOOD AVE STE,1780 BARLOW ST
722 WATCH HILL LN,231 E EIGHTH ST
1783 LINDEN AVE,2279 W SOUTH AIRPORT RD
502 E FRONT ST,3104 LOGAN VALLEY RD
814 CENTRE ST,3950 SILVER LAKE RD
920 HASTINGS ST,108 E FRONT ST
720 WAYNE ST,520 S UNION ST
1477 NEWPORT ST HOUSE,1250 HILL ST
2815 CASS RD,810 COTTAGEVIEW DR
808 W FRONT ST,896 MUNSON AVE
1137 WOODMERE AVE,891 FITZHUGH DR
737 WOODMERE AVE,1370 W SOUTH AIRPORT RD
514 1/2 E FRONT ST,3623 MARKETPLACE CR
226 E SIXTEENTH ST,202 E STATE ST
790 INDIAN TRAIL BLVD,1104 BARLOW ST
1375 YELLOW DR,2322 CASS RD
125 E STATE ST,1265 US 31 NORTH
3950 SILVER LAKE RD,1138 CARVER ST
315 N DIVISION ST,2410 AERO PARK DR
102 W FRONT ST FIRE,149 E FRONT ST
114 E FRONT ST,1201 S DIVISION ST
645 E EIGHTH ST,225 E SIXTEENTH ST
431 MUNSON AVE,744 MUNSON AVE
312 S UNION ST,1566 US 31 NORTH
140 E FRONT ST,710 E FRONT ST
814 S GARFIELD AVE,116 E EIGHTH ST
0 WEATHER STATION,150 PINE ST
1133 W SOUTH AIRPORT RD,940 US 31 NORTH
515 W FOURTEENTH ST,1225 W SOUTH AIRPORT RD
940 E EIGHTH ST,1371 GRAY DR
309 S UNION ST,1253 W SOUTH AIRPORT RD
630 S GARFIELD AVE,
693 PARSONS RD,
537 BAY ST,
507 W FRONT ST,
2358 CASS RD,
1681 BAY HILL TER,
836 HASTINGS ST EHEAT,
208 E FRONT ST,
1219 E FRONT ST,
260 E TWELFTH ST,
827 W FRONT ST,
1129 WOODMERE AVE,
943 LAKE RIDGE DR,
537 BAY ST,
127 S UNION ST,
141 E FRONT ST,
920 HASTINGS ST,
1781 S GARFIELD AVE,
704 S GARFIELD AVE,
3147 LOGAN VALLEY RD,
2421 AERO PARK DR,
3691 CASS RD,
715 E STATE ST STE,
202 E STATE ST,
431 MUNSON AVE,
1142 E EIGHTH ST,
1050 SILVER DR,
328 MUNSON AVE STE,
544 E EIGHTH ST,
1199 TERRACE BLUFF DR,
830 COTTAGEVIEW DR STE,
0 W M 72,
921 W ELEVENTH ST,
1225 WOODMERE AVE,
2415 DIAMOND DR,
814 S GARFIELD AVE,
3643 W FRONT ST,
911 HASTINGS ST,
693 PARSONS RD,
130 E FRONT ST,
445 E FRONT ST,
0 W EIGHTH ST & S UNION ST,
0 FIRE PUMP,
3950 SCENIC RIDGE,
703 PARSONS RD,
1033 1/2 E EIGHTH ST,
1211 E FRONT ST,
551 S GARFIELD AVE,
1225 W FRONT ST,
1603 BARLOW ST,
807 AIRPORT ACCESS RD,
1010 S GARFIELD AVE,
880 PARSONS RD,
914 E FRONT ST UNIT,
155 E FRONT ST,
1140 AIRPORT ACCESS RD,
415 1/2 S UNION ST,
141 RIVERS EDGE DR,
905 WOODMERE AVE,
0 E SOUTH AIRPORT RD,
1566 US 31 NORTH,
3633 MARKETPLACE CR,
613 W FOURTEENTH ST,
739 WOODMERE AVE,
1765 PARK DR,
1004 E EIGHTH ST,
155 GARLAND ST,
1125 HASTINGS ST,
3220 RACQUET CLUB DR,
2823 CASS RD,
1760 FOREST RIDGE DR,
2299 TRAVERSEFIELD DR,
688 BAY HILL DR,
333 W GRANDVIEW PKWY -3RD,
1000 HASTINGS ST,
1024 E FRONT ST,
204 E FRONT ST,
140 E FRONT ST,
13922 S WEST BAY SHORE DR,
221 GARLAND ST,
124 CASS ST,
1650 BARLOW ST,
630 S GARFIELD AVE,
1525 S DIVISION ST,
1702 BAY HILL TER,
950 PARSONS RD,
500 S UNION ST SUITE,
733 WOODMERE AVE,
205 E FRONT ST,
181 E GRANDVIEW PKWY,
752 MUNSON AVE BUS,
1020 HASTINGS ST,
1132 S GARFIELD AVE,
2314 SYBRANDT RD,
678 BAY HILL DR,
400 W FRONT ST,
149 E STATE ST,
601 RIVERINE DR,
818 RED DR STE,
613 RANDOLPH ST,
527 E EIGHTH ST,
0 CEMETERY PITS,
1995 US 31 NORTH,
102 1/2 E FRONT ST,
2151 CASS RD,
611 LAKE AVE,
122 CASS ST,
1321 W SOUTH AIRPORT RD,
1000 AIRPORT ACCESS RD,
718 MUNSON AVE,
139 E FRONT ST,
949 LAKE RIDGE DR,
810 S GARFIELD AVE,
651 BAY HILL DR,
521 S UNION ST,
515 WELLINGTON ST,
1330 (10575502) AIRPORT ACCESS RD,
124 N MAPLE ST,
2674 CASS RD,
2823 CASS RD,
13896 S WEST BAY SHORE DR,
1149 S GARFIELD AVE,
847 S GARFIELD AVE,
205 E FRONT ST,
1111 E FRONT ST,
861 ROBINWOOD CT,
1616 W SOUTH AIRPORT RD,
1224 CENTRE ST,
3639 MARKETPLACE CR,
1516 BARLOW ST GAS,
1001 BAY ST STE,
831 S GARFIELD AVE,
1126 S GARFIELD AVE,
421 SECOND ST 2ND,
100 HOPE ST,
899 CARVER ST,
651 BAY HILL DR,
3066 N GARFIELD RD,
803 S GARFIELD AVE,
1525 S DIVISION ST,
525 S UNION ST,
807 W FRONT ST,
121 S GARFIELD AVE,
3180 RACQUET CLUB DR,
735 WOODMERE AVE,
403 E STATE ST,
540 N SPRUCE ST,
114 E FRONT ST,
711 WADSWORTH ST,
914 E FRONT ST UNIT,
128 S UNION ST STE,
510 W FOURTEENTH ST,
1316 W SOUTH AIRPORT RD,
118 E FRONT ST,
3609 CASS RD,
1779 S GARFIELD AVE,
0 E FRONT ST/MILLIKEN ST,
440 MUNSON AVE,
436 W FRONT ST,
1671 BAY HILL TER,
3153 CASS RD,
0 UNION ST HOLIDAY LIGHTS,
2815 CASS RD,
3139 LOGAN VALLEY RD,
2807 CASS RD,
1701 E FRONT ST,
123 1/2 E FRONT ST,
333 W GRANDVIEW PKWY -5TH,
223 LAKE AVE B,
3191 LOGAN VALLEY RD,
810 S GARFIELD AVE,
1631 BAY HILL TER,
631 WOODMERE AVE,
403 E STATE ST,
701 E STATE ST,
236 1/2 E FRONT ST,
148 E FRONT ST,
2000 RANDOLPH ST,
537 BAY ST,
731 WOODMERE AVE,
243 E STATE ST,
13890 S WEST BAY SHORE DR,
2877 GLEN DR,
1212 VETERANS DR,
2615 N US 31 SOUTH,
1121 E EIGHTH ST,
1023 E EIGHTH ST,
333 W GRANDVIEW PKWY HEAT/,
1025 E EIGHTH ST,
10923 EAST TRAVERSE HWY,
870 E FRONT ST,
900 E FRONT ST,
116 E EIGHTH ST,
311 E FRONT ST,
1300 AIRPORT ACCESS RD,
2366 CASS RD,
421 W FRONT ST,
1220 WOODMERE AVE,
817 BAY ST,
400 W FRONT ST,
790 CENTRE PL,
1238 S GARFIELD AVE,
215 WASHINGTON ST,
514 1/2 E FRONT ST,
1209 S GARFIELD AVE,
1206 CASS ST,
1719 E EIGHTH ST,
6647 MISSION RIDGE,
136 1/2 E FRONT ST,
1606 BARLOW ST UNIT,
911 SILVER DR,
1402 NORTH ORCHARD DR,
921 W ELEVENTH ST,
619 E EIGHTH ST,
2156 W SOUTH AIRPORT RD,
419 E EIGHTH ST,
0 MORGAN HILL,
1525 S DIVISION ST,
1525 S DIVISION ST,
140 E FRONT ST,
3950 SCENIC RIDGE,
127 MUNSON AVE,
817 SEVENTH ST,
801 W FRONT ST,
3003 N GARFIELD RD,
3283 RACQUET CLUB DR,
1611 PARK DR,
521 RANDOLPH ST,
1318 W SOUTH AIRPORT RD,
1424 NEWPORT ST,
148 E FRONT ST,
2207 TRAVERSEFIELD DR,
1115 S UNION ST,
333 E STATE ST,
971 LYNCH DR,
1265 US 31 NORTH,
126 S UNION ST,
3139 N KEYSTONE RD,
3631 MARKETPLACE CR,
115 E EIGHTH ST,
2775 N US 31 SOUTH,
501 S UNION ST,
3186 CASS RD,
1557 PREMIER ST,
242 E FRONT ST,
2548 CASS RD,
444 CASS ST,
13802 S WEST BAY SHORE DR,
920 BARLOW ST,
421 E STATE ST,
914 E FRONT ST UNIT,
1324 BARLOW ST,
116 E FRONT ST,
1783 S GARFIELD AVE STE,
818 RED DR,
6187 RED FOX RUN,
1100 WOODMERE AVE,
715 E STATE ST BDG 2,
630 S GARFIELD AVE,
1015 S UNION ST NEW,
696 BAY HILL DR,
202 E STATE ST,
934 E EIGHTH ST,
135 E EIGHTH ST,
414 MUNSON PL,
0 S GARFIELD AVE & HANNAH A,
415 CASS ST,
3011 N GARFIELD RD,
0 AIRPORT HANGER 5,
3643 W FRONT ST,
3847 CREEKSIDE DR,
914 E FRONT ST UNIT,
2000 RANDOLPH ST,
1825 E EIGHTH ST,
807 LAKE AVE,
212 E FRONT ST,
230 E FOURTEENTH ST,
2425 DIAMOND DR,
855 1/2 E FRONT ST,
770 CENTRE PL,
3116 LOGAN VALLEY RD,
932 E EIGHTH ST,
914 E FRONT ST UNIT,
1683 US 31 NORTH,
1525 S DIVISION ST,
861 ROBINWOOD CT STE,
300 E FRONT ST,
807 LAKE AVE,
537 BAY ST,
861 ROBINWOOD CT,
1313 E EIGHTH ST FIRE,
329 1/2 S UNION ST,
121 S GARFIELD AVE,
315 N DIVISION ST,
415 CASS ST STE,
1535 S DIVISION ST,
917 THIRD ST,
903 WOODMERE AVE,
548 E FRONT ST,
309 CASS ST,
423 E EIGHTH ST,
416 E FRONT ST,
525 W FRONT ST,
1091 E M 72,
3950 SILVER LAKE RD,
1121 E FRONT ST,
521 WOODMERE AVE,
1000 S GARFIELD AVE,
545 W ELEVENTH ST,
515 W FOURTEENTH ST,
704 MUNSON AVE,
508 W FOURTEENTH ST,
518 E FRONT ST,
420 1/2 E FRONT ST,
697 HANNAH AVE,
151 S EAST BAY BLVD,
430 S UNION ST,
1310 BARLOW ST,
400 S UNION ST,
852 ROBINWOOD CT,
150 E FRONT ST,
717 WOODMERE AVE,
145 E FRONT ST,
2425 DIAMOND DR,
1155 HASTINGS ST,
123 E FRONT ST,
137 E FRONT ST,
2465 N AERO PARK CT SHOP,
440 MUNSON AVE,
1941 US 31 NORTH,
107 CASS ST,
1129 WOODMERE AVE,
1101 PENINSULA DR,
691 PARSONS RD,
426 MUNSON PL,
0 SIXTH ST & S ELMWOOD AVE,
713 PARSONS RD,
1720 HANNAH AVE,
1439 BARLOW ST UNIT,
1133 W SOUTH AIRPORT RD,
1375 YELLOW DR,
1213 E FRONT ST,
314 E EIGHTH ST,
4200 N THREE MILE RD,
109 E FRONT ST,
2960 CASS RD,
820 RED DR,
0 N ELMWOOD AVE & PARKWAY,
3820 CASS RD,
1780 BARLOW ST,
709 S GARFIELD AVE,
124 S UNION ST,
443 WENONAH ST,
440 MUNSON AVE,
134 W STATE ST STE,
2823 CASS RD,
532 W FOURTEENTH ST,
0 W FOURTEENTH ST & VETERAN,
341 WASHINGTON ST,
2318 CASS RD,
313 E FRONT ST,
602 FERN ST,
803 W FRONT ST,
1777 S GARFIELD AVE STE,
333 W GRANDVIEW PKWY FIRST,
853 E FRONT ST,
3901 SCENIC RIDGE,
518 E FRONT ST SPA,
115 WELLINGTON ST,
540 S GARFIELD AVE,
440 MUNSON AVE,
1226 S GARFIELD AVE,
697 HANNAH AVE,
333 W GRANDVIEW PKWY FIRST,
223 LAKE AVE WEST,
148 E FRONT ST,
1650 BARLOW ST,
1515 CASS ST,
1237 HASTINGS ST,
1142 E EIGHTH ST,
215 WASHINGTON ST,
134 W STATE ST STE,
1129 WOODMERE AVE STE,
1545 S DIVISION ST,
534 E FRONT ST,
1014 SIXTH ST,
10767 EAST TRAVERSE HWY,
102 E FRONT ST,
745 S GARFIELD AVE,
2819 CASS RD,
120 BOARDMAN AVE,
511 E EIGHTH ST,
628 FERN ST,
1631 PARK DR,
0 AIRPORT STREET LIGHTS,
3210 RACQUET CLUB DR,
425 BOARDMAN AVE 3RD,
1151 HASTINGS ST,
318 VINE ST,
1102 CASS ST,
346 E FRONT ST,
1525 S DIVISION ST,
1236 1/2 E EIGHTH ST,
701 W FRONT ST,
1545 S DIVISION ST,
207 CIRCLE AVE,
1028 HANNAH AVE,
3180 RACQUET CLUB DR,
1400 TERRA RD,
1371 GRAY DR,
876 WASHINGTON ST,
1315 WOODMERE AVE,
1661 PARK DR,
230 E FOURTEENTH ST,
711 LAKE AVE,
803 LYNCH DR,
425 BOARDMAN AVE,
13936 S WEST BAY SHORE DR,
541 E EIGHTH ST,
746 E SOUTH AIRPORT RD,
739 HASTINGS ST,
130 S UNION ST,
140 E FRONT ST,
415 E FRONT ST #P2,
3155 N KEYSTONE RD,
1440 FOREST PARK DR,
1167 HASTINGS ST,
825 LAKE AVE,
1142 E EIGHTH ST,
615 BAY HILL DR,
1764 FOREST RIDGE DR,
914 E FRONT ST UNIT,
1040 E EIGHTH ST,
739 WOODMERE AVE,
613 RANDOLPH ST,
880 PARSONS RD,
3283 RACQUET CLUB DR,
822 ROBINWOOD CT,
750 CENTRE PL,
102 1/2 E FRONT ST,
13783 S MERIDIAN DR,
502 W FOURTEENTH ST,
0 GARFIELD FLOW/BURGER KING,
145 E EIGHTH ST,
2296 CASS RD,
861 MUNSON AVE,
1126 BARLOW ST,
849 E FRONT ST,
104 E FRONT ST,
3603 MARKETPLACE CR,
615 E EIGHTH ST,
140 E FRONT ST,
488 MUNSON AVE,
333 W GRANDVIEW PKWY 4TH,
100 PARK ST,
181 E GRANDVIEW PKWY,
704 MUNSON AVE,
1535 S DIVISION ST,
512 S UNION ST,
2401 AERO PARK DR,
1260 BOON ST,
10977 E BREWERY CREEK LN,
752 MUNSON AVE,
444 CASS ST,
4207 MITCHELL CREEK DR,
114 1/2 E FRONT ST,
1142 E EIGHTH ST,
991 LAKE RIDGE DR HOUSE,
109 E FRONT ST,
518 E FRONT ST HOUSE,
120 BEAUMONT PL,
1210 S GARFIELD AVE,
0 FARMER'S MARKET,
4224 N THREE MILE RD,
3007 N GARFIELD RD,
104 E FRONT ST,
1222 VETERANS DR,
400 W FRONT ST,
920 S GARFIELD AVE,
318 W TWELFTH ST,
0 SOUTH CASS HOLIDAY LIGHTS,
321 E FRONT ST,
2170 TRAVERSEFIELD DR,
691 PARSONS RD,
420 S DIVISION ST,
130 HALL ST DCFC,
508 W FOURTEENTH ST,
148 E FRONT ST,
540 S GARFIELD AVE,
426 W FRONT ST,
109 E FRONT ST,
111 CASS ST,
360 MUNSON AVE,
10208 E CARTER CENTRE PUMP,
1142 E EIGHTH ST,
343 W THIRTEENTH ST,
1677 PARK DR,
140 E FRONT ST,
924 KELLEY ST,
3291 RACQUET CLUB DR,
1203 E EIGHTH ST,
333 W GRANDVIEW PKWY,
1560 E FRONT ST,
223 LAKE AVE,
926 E FRONT ST,
940 E EIGHTH ST,
806 S GARFIELD AVE,
808 1/2 W FRONT ST,
2805 BEECH TREE LN,
6432 MISSION RIDGE,
2819 CASS RD,
1200 BOON ST,
811 COTTAGEVIEW DR,
3300 CASS RD,
2929 GLEN DR,
9910 EAST TRAVERSE HWY,
740 KINGSTON CT,
3375 CASS RD,
436 1/2 W FRONT ST,
1525 S DIVISION ST,
1601 BAY HILL TER,
1717 US 31 NORTH EAST,
1117 CARVER ST,
731 INDIAN TRAIL BLVD,
1239 US 31 NORTH,
1129 WOODMERE AVE STE,
537 BAY ST,
504 W FOURTEENTH ST,
738 S GARFIELD AVE,
1129 WOODMERE AVE STE,
430 MONROE ST,
346 E FRONT ST,
216 BOUGHEY ST,
1200 WOODMERE AVE,
727 FLY DONT DR,
836 HASTINGS ST LIGHT,
2651 AERO PARK DR,
1238 S GARFIELD AVE,
509 WOODMERE AVE,
820 W FRONT ST,
120 PARK ST,
928 S GARFIELD AVE,
444 CASS ST,
1225 W FRONT ST,
1779 S GARFIELD AVE,
800 S DIVISION ST,
222 CASS ST,
10200 E CARTER CENTRE,
1132 S GARFIELD AVE,
1420 FOREST PARK DR,
616 E EIGHTH ST,
523 MUNSON AVE,
1930 IROQUOIS ST,
0 US 31 S @ MEIJER ENTRANCE,
231 E TWELFTH ST,
3185 LOGAN VALLEY RD,
701 WESTMINSTER RD,
627 LAKE AVE,
820 ROBINWOOD CT,
325 S UNION ST,
119 FAIR ST,
830 COTTAGEVIEW DR STE,
230 E FOURTEENTH ST,
139 E EIGHTH ST,
202 E STATE ST,
711 COTTAGEVIEW DR STE,
3139 N KEYSTONE RD,
110 HALL ST,
707 S GARFIELD AVE STE,
525 RIVERINE DR,
527 W FRONT ST,
1500 RAMSDELL ST,
697 HANNAH AVE,
153 E FRONT ST,
807 S GARFIELD AVE,
107 CASS ST,
708 BAY HILL DR,
874 E FRONT ST,
862 MUNSON AVE,
719 PARSONS RD,
116 BOARDMAN AVE,
2358 CASS RD,
153 E FRONT ST,
720 E EIGHTH ST,
431 MUNSON AVE,
0 HASTINGS ST & PARSONS RD,
2206 CASS RD,
1214 S GARFIELD AVE,
1163 HASTINGS ST,
140 E FRONT ST,
1020 HASTINGS ST,
217 FAIR ST,
511 S UNION ST,
627 ROSE ST,
1600 BAY HILL TER,
1719 S GARFIELD AVE,
140 E FRONT ST,
4207 MITCHELL CREEK DR,
1660 BARLOW ST,
819 LYNCH DR,
940 E EIGHTH ST,
2000 RANDOLPH ST,
537 BAY ST HOUSE,
122 S UNION ST,
309 CASS ST,
1777 S GARFIELD AVE STE,
1797 PARK DR,
3003 N GARFIELD RD,
303 S UNION ST,
515 BAY ST,
601 W FRONT ST,
3955 SUMAC DR,
705 E STATE ST,
1701 W SOUTH AIRPORT RD,
1102 CASS ST,
1 FRONT/PARK,
515 S UNION ST,
1129 WOODMERE AVE STE,
525 W FRONT ST,
1100 E FRONT ST,
400 S UNION ST,
122 S UNION ST,
0 W SOUTH AIRPORT RD,
1145 WOODMERE AVE,
700 COTTAGEVIEW DR STE,
1500 CASS RD,
405 N DIVISION ST,
2780 CASS RD,
2811 CASS RD,
2674 CASS RD,
1224 CENTRE ST,
1105 E FRONT ST,
335 DAVIS ST,
315 N DIVISION ST,
619 E EIGHTH ST,
876 ROBINWOOD CT,
128 W STATE ST,
6901 MISSION RIDGE,
1445 WOODMERE AVE,
1545 S DIVISION ST,
506 W FOURTEENTH ST,
1224 CENTRE ST,
114 1/2 E FRONT ST,
324 E FRONT ST,
500 S UNION ST SUITE,
219 E FRONT ST,
961 LAKE RIDGE DR,
909 SEVENTH ST,
920 HASTINGS ST STE,
3132 LOGAN VALLEY RD,
3129 S GARFIELD AVE,
122 S UNION ST,
412 S UNION ST,
531 E EIGHTH ST,
3250 RACQUET CLUB DR,
1010 AIRPORT ACCESS RD,
1744 BARLOW ST,
1122 CARVER ST,
610 WOODMERE AVE,
1777 S GARFIELD AVE STE,
809 S GARFIELD AVE,
1640 WOODWARD AVE,
3980 N US 31 SOUTH,
2951 N KEYSTONE RD,
1779 S GARFIELD AVE,
2807 CASS RD,
3055 CASS RD,
1231 HASTINGS ST,
1014 SIXTH ST,
630 S GARFIELD AVE,
601 E EIGHTH ST,
415 CASS ST,
2953 N KEYSTONE RD,
123 E FRONT ST,
700 BOON ST,
1045 E EIGHTH ST,
830 E FRONT ST,
922 E FRONT ST UNIT,
315 E FRONT ST,
111 E FRONT ST,
2000 RANDOLPH ST,
0 OPEN SPACE AREA CFEST,
222 E FOURTEENTH ST,
6477 MISSION RIDGE,
10748 EAST TRAVERSE HWY,
2921 GLEN DR,
1371 GRAY DR,
1683 US 31 NORTH,
1209 S GARFIELD AVE,
1324 BARLOW ST,
874 E EIGHTH ST,
3104 LOGAN VALLEY RD,
126 BOARDMAN AVE,
13802 S WEST BAY SHORE DR,
3291 RACQUET CLUB DR,
140 E FRONT ST,
401 E FRONT ST,
1142 E EIGHTH ST,
421 SECOND ST 1ST,
1325 W SOUTH AIRPORT RD,
3277 N GARFIELD RD,
2151 CASS RD,
637 BAY HILL DR,
804 BOON ST,
0 FRONT & BARLOW ST,
1043 E EIGHTH ST,
1045 W SOUTH AIRPORT RD,
934 S GARFIELD AVE,
861 ROBINWOOD CT STE,
2819 CASS RD,
227 E STATE ST,
436 W FRONT ST,
876 E EIGHTH ST,
502 RAILROAD AVE,
1313 W SOUTH AIRPORT RD,
11559 WATERFORD ST,
1661 BAY HILL TER,
2889 AERO PARK DR EQUIP,
413 S UNION ST,
420 S DIVISION ST,
1025 HANNAH AVE,
826 HASTINGS ST,
1650 BARLOW ST,
13766 S WEST BAY SHORE DR,
1616 W SOUTH AIRPORT RD,
1209 S GARFIELD AVE,
2323 TRAVERSEFIELD DR,
710 CENTRE ST,
1021 CENTRE ST,
129 FAIR ST,
114 1/2 E FRONT ST,
360 MUNSON AVE,
3163 N KEYSTONE RD,
191 MARINA DR LVL 2,
