,Rate,Building Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
570,Commercial Demand,Warehouse,"260 E TWELFTH ST, Traverse City, Michigan, USA","260 E Twelfth St, Traverse City, MI 49684, USA",1,1312,4898,5000,6.3,440.0
571,Commercial Demand,Midrise Apartment,"931 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
572,Commercial Demand,Full Service Restaurant,"221 GARLAND ST STE, Traverse City, Michigan, USA","221 Garland St, Traverse City, MI 49684, USA",1,1327,7083,6000,6.3,440.0
573,Commercial Demand,Midrise Apartment,"750 FITZHUGH DR, Traverse City, Michigan, USA","750 Fitzhugh Dr, Traverse City, MI 49684, USA",1,1290,5109,5000,6.5,458.0
574,Commercial Demand,Full Service Restaurant,"1333 YELLOW DR, Traverse City, Michigan, USA",Not Found,,,,,,
575,Commercial Demand,Full Service Restaurant,"124 CASS ST, Traverse City, Michigan, USA","124 Cass St, Traverse City, MI 49684, USA",1,1364,810,5000,6.3,440.0
576,Commercial Demand,Medium Office,"603 BAY ST, Traverse City, Michigan, USA","603 Bay St, Traverse City, MI 49684, USA",1,1425,3894,6000,5.8,405.0
577,Commercial Demand,Small Hotel,"221 GARLAND ST, Traverse City, Michigan, USA","221 Garland St, Traverse City, MI 49684, USA",1,1327,7083,6000,6.3,440.0
578,Commercial Demand,Secondary School,"123 E ELEVENTH ST, Traverse City, Michigan, USA","123 E Tenth St, Traverse City, MI 49684, USA",1,1384,846,4000,7.0,493.0
579,Commercial Demand,Retail Strip Mall,"1035 S GARFIELD AVE, Traverse City, Michigan, USA","1035 S Garfield Ave, Traverse City, MI 49686, USA",1,1322,7770,6000,6.3,440.0
580,Commercial Demand,Small Office,"314 E FRONT ST, Traverse City, Michigan, USA","314 E Front St, Traverse City, MI 49684, USA",1,1160,3083,4000,7.3,511.0
581,Commercial Demand,Retail Strip Mall,"104 S UNION ST, Traverse City, Michigan, USA","104 S Union St #201, Traverse City, MI 49684, USA",1,1325,4986,6000,6.3,440.0
582,Commercial Demand,Small Office,"836 ROBINWOOD CT, Traverse City, Michigan, USA","836 Robinwood Ct, Traverse City, MI 49686, USA",1,1094,1568,2000,7.8,546.0
583,Commercial Demand,Retail Strip Mall,"123 S UNION ST, Traverse City, Michigan, USA","123 S Union St, Traverse City, MI 49684, USA",1,1327,3858,6000,6.3,440.0
584,Commercial Demand,Small Office,"811 S GARFIELD AVE, Traverse City, Michigan, USA","745 S Garfield Ave Ste B, Traverse City, MI 49686, USA",0,1435,5814,7000,5.8,405.0
585,Commercial Demand,Retail Standalone,"1133 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1133 W South Airport Rd, Traverse City, MI 49686, USA",1,1295,9426,5000,6.5,458.0
586,Commercial Demand,Small Hotel,"1566 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
587,Commercial Demand,Small Hotel,"1840 US 31 NORTH, Traverse City, Michigan, USA","1808 US-31, Traverse City, MI 49685, USA",0,1174,1004,2000,8.0,564.0
588,Commercial Demand,Medium Office,"2510 AERO PARK DR, Traverse City, Michigan, USA","2510 Aero-Park Dr, Traverse City, MI 49686, USA",1,1323,16367,6000,6.3,440.0
589,Commercial Demand,Medium Office,"610 WOODMERE AVE, Traverse City, Michigan, USA","610 Woodmere Ave, Traverse City, MI 49686, USA",1,1417,23115,6000,5.8,405.0
590,Commercial Demand,Medium Office,"141 RIVERS EDGE DR, Traverse City, Michigan, USA","310 Cass St, Traverse City, MI 49684, USA",0,1394,11963,6000,6.0,423.0
591,Commercial Demand,Midrise Apartment,"781 FITZHUGH DR, Traverse City, Michigan, USA","781 Fitzhugh Dr, Traverse City, MI 49684, USA",1,1320,5021,5000,6.3,440.0
592,Commercial Demand,Medium Office,"517 WELLINGTON ST, Traverse City, Michigan, USA","517 Wellington St, Traverse City, MI 49686, USA",1,1362,9056,6000,6.0,423.0
593,Commercial Demand,Retirement Community,"1456 BRIGADOON CT, Traverse City, Michigan, USA",Not Found,,,,,,
594,Commercial Demand,Full Service Restaurant,"3501 MARKETPLACE CR, Traverse City, Michigan, USA","3875 Marketplace Cir, Traverse City, MI 49684, USA",0,1421,5585,6000,6.0,423.0
595,Commercial Demand,Warehouse,"2762 CASS RD, Traverse City, Michigan, USA","2762 Cass Rd, Traverse City, MI 49684, USA",1,1369,10818,6000,6.0,423.0
596,Commercial Demand,Retail Standalone,"2625 N US 31 SOUTH, Traverse City, Michigan, USA","2537 US-31, Traverse City, MI 49684, USA",0,1321,9197,6000,6.3,440.0
597,Commercial Demand,Full Service Restaurant,"305 W FRONT ST 1ST, Traverse City, Michigan, USA","302 W Front St, Traverse City, MI 49684, USA",0,1310,599,5000,6.5,458.0
598,Commercial Demand,Retail Standalone,"231 E EIGHTH ST, Traverse City, Michigan, USA","231 E Eighth St, Traverse City, MI 49684, USA",1,1423,14658,6000,5.8,405.0
599,Commercial Demand,Supermarket,"3955 N US 31 SOUTH, Traverse City, Michigan, USA",Not Found,,,,,,
600,Commercial Demand,Medium Office,"140 RIVERS EDGE DR, Traverse City, Michigan, USA","141 Rivers Edge Dr #200, Traverse City, MI 49684, USA",0,1402,5885,6000,6.0,423.0
601,Commercial Demand,Medium Office,"13900 S WEST BAY SHORE DR, Traverse City, Michigan, USA",Not Found,,,,,,
